Rekening Koran - Shopee Indonesia,,,Ringkasan,,,,,Saldo,
Mata Uang:,IDR,,Kredit,,Debit,,,Awal:,143985.0
Tanggal:,2020-09-01-2020-09-30,,Jumlah transaksi:,30,Jumlah transaksi:,1,,Akhir:,49277.0
,,,Total:,49970.0,Total:,144678.0


Tanggal,Penerima Dana,Jumlah Dana,Deskripsi,Status,Saldo
2020-09-09 05:29,Saldo Penjual,99.0,Penghasilan dari Pesanan #200903QMVRH8HV,,49277.0
2020-09-09 04:34,Saldo Penjual,99.0,Penghasilan dari Pesanan #200903QBTV81CT,,49178.0
2020-09-09 04:24,Saldo Penjual,99.0,Penghasilan dari Pesanan #200903QS4CU69P,,49079.0
2020-09-09 04:21,Saldo Penjual,99.0,Penghasilan dari Pesanan #200902P0PMW3VT,,48980.0
2020-09-09 04:10,Saldo Penjual,99.0,Penghasilan dari Pesanan #200903QFQW2KS2,,48881.0
2020-09-09 03:42,Saldo Penjual,99.0,Penghasilan dari Pesanan #200903QEADRFQC,,48782.0
2020-09-09 03:09,Saldo Penjual,99.0,Penghasilan dari Pesanan #200902P320H9CV,,48683.0
2020-09-07 05:29,Saldo Penjual,99.0,Penghasilan dari Pesanan #200903PJ20B9XK,,48584.0
2020-09-07 05:24,Saldo Penjual,99.0,Penghasilan dari Pesanan #200902NYN74YD3,,48485.0
2020-09-07 05:24,Saldo Penjual,99.0,Penghasilan dari Pesanan #200902P207VVEU,,48386.0
2020-09-07 05:02,Saldo Penjual,99.0,Penghasilan dari Pesanan #200901JSB18YTF,,48287.0
2020-09-07 04:09,Saldo Penjual,99.0,Penghasilan dari Pesanan #200901KC7T5RYK,,48188.0
2020-09-07 04:09,Saldo Penjual,99.0,Penghasilan dari Pesanan #200901KM2TXJMT,,48089.0
2020-09-07 03:59,Saldo Penjual,99.0,Penghasilan dari Pesanan #200902NSEVTKA3,,47990.0
2020-09-07 03:51,Saldo Penjual,99.0,Penghasilan dari Pesanan #200902N0JA4CBY,,47891.0
2020-09-06 03:41,Saldo Penjual,99.0,Penghasilan dari Pesanan #200902N809E5FF,,47792.0
2020-09-05 06:01,Saldo Penjual,99.0,Penghasilan dari Pesanan #200901HVQY22EN,,47693.0
2020-09-05 05:33,Saldo Penjual,99.0,Penghasilan dari Pesanan #200901J0PU9A1P,,47594.0
2020-09-05 04:12,Saldo Penjual,99.0,Penghasilan dari Pesanan #200901HUQXAE8A,,47495.0
2020-09-05 03:08,Saldo Penjual,99.0,Penghasilan dari Pesanan #200831GY2JCWAY,,47396.0
2020-09-04 17:43,Saldo Penjual,47000.0,Penghasilan dari Pesanan #200902MSKRBE0X,,47297.0
2020-09-04 03:48,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008275RQADXR9,,297.0
2020-09-03 11:57,Saldo Penjual,198.0,Penghasilan dari Pesanan #200901JKT0RDKC,,198.0
2020-09-03 09:25,Bank,-144678.0,Penarikan Dana,Transaksi Selesai,0.0
2020-09-03 05:12,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008276Y7NB6FX,,144678.0
2020-09-03 03:13,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008287UGP5AH6,,144579.0
2020-09-02 04:39,Saldo Penjual,99.0,Penghasilan dari Pesanan #20082765UN2WN4,,144480.0
2020-09-01 03:29,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008264GU5A4DR,,144381.0
2020-09-01 03:09,Saldo Penjual,99.0,Penghasilan dari Pesanan #200826379VDWM9,,144282.0
2020-09-01 03:07,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008264FHWNX1C,,144183.0
2020-09-01 03:04,Saldo Penjual,99.0,Penghasilan dari Pesanan #2008264EF45VMY,,144084.0
